sample	condition
CRE1078	NR-CRE
CRE1803	NR-CRE
CRE2365	NR-CRE
CRE3562	NR-CRE
GFP1078	NR-GFP
GPF1803	NR-GFP
GFP2365	NR-GFP
GFP3562	NR-GFP
